tipo_inmueble,finalidad,estado_inmueble,Ciudad,ubicacion_asociada,area m²,habitaciones,baños,precio,estrato,antigüedad,administración,comodidades,descripcion,contacto,codigo,vendedor,link_venta,link_image,error,latitud,longitud
Apartamento,venta,Usado,Tunja,,50,2,2,230000000,5,8,,", Baño Auxiliar, , Calentador, , Cocina Integral, , Colegios / Universidades, , Hall de Alcobas, , Instalación de gas, , Patio, , Piso en Baldosa /  Mármol, , Vivienda Bifamiliar, , Vivienda Multifamiliar, , Zona Residencial, , Zonas Verdes, Descripción, En VENTA, hermoso apartamento ubicado en el Edificio San Pedro, barrio La María. Consta de 2 habitaciones, dos baños, cocina integral, sala comedor, zona de ropas, parqueadero privado.  El inmueble esta ubicado en un segundo piso, el edificio no cuenta con ascensor., Código Fincaraíz:, 192034146, Consultar, Inmobiliaria Eskala, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","En VENTA, hermoso apartamento ubicado en el Edificio San Pedro, barrio La María. Consta de 2 habitaciones, dos baños, cocina integral, sala comedor, zona de ropas, parqueadero privado.  El inmueble esta ubicado en un segundo piso, el edificio no cuenta con ascensor.",,192034146,Inmobiliaria Eskala,https://www.fincaraiz.com.co/apartamento-en-venta/192034146,,,,
Apartamento,venta,Usado,Tunja,Centro,137,4,3,450000000,5,8,,", Ascensor, , Balcón, , Canchas Deportivas, , Cerca centro comercial, , Citófono, , Closet, , Piscina, , Salón Comunal, , Sauna / Turco / Jacuzzi, , Shut de basura, , Trans. Público cercano, , Vista panorámica","En Atos Inmobiliaria ofrecemos en venta un espectacular apartamento dúplex para estrenar, ubicado en el piso 18 con vista hacia el sur y oriente, en una de las zonas más exclusivas de la ciudad. Este impresionante apartamento cuenta con una distribución perfecta, en el primer nivel se encuentra la entrada, la sala comedor, un estudio abierto, un balcón, una cocina abierta, un baño social, una habitación con baño privado que cuenta con tina de hidromasaje. En el segundo nivel, se encuentra una amplia escalera, un estar de alcobas, una zona de ropas, 3 habitaciones con closet, baño privado, vestier y baño de habitaciones. Además, cuenta con un depósito y parqueaderos. El edificio cuenta con ascensor, piscina, vigilancia, dos porterías, citófono, shut de basuras, sala de cine, sauna, turco, jacuzzi, BBQ, gimnasio, zona para juegos, salón social y parqueadero para visitantes. No pierdas la oportunidad de vivir en un lugar con todas las comodidades que mereces. Contáctanos en Atos Inmobilia",,191273933,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/apartamento-en-venta/191273933,,,5.5521632,-73.3567425
Casa,venta,Usado,Tunja,Colombia,53,2,2,225000000,4,8,,", Acceso Pavimentado, , Baño Auxiliar, , Baño Independiente, , Calentador, , Cerca de Zona Urbana, , Citófono, , Depósito / Bodega, , Garaje(s), , Hall de Alcobas, , Instalación de gas, , Piso en Baldosa /  Mármol, , Supermercados / C.Comerciales","Código: 899FR1158 Excelente oportunidad de adquirir apartamento nuevo con acabados de primera categoria a dos minutos de la UPTC, con fácil acceso de transporte público; consta de dos alcobas con closet, la habitación principal con baño privado, baño social, cocina integral, sala-comedor, zona de lavandería, los pisos son en porcelanato y laminado de madera, cielorrasos en Dry Wall, iluminación Led, carpinteria en madera y termo laminado, mesones de baño en mármol y divisiones de vidrio templado y depósito de cuatro metros cuadrados en el primer piso, el edificio cuenta con dos parqueaderos para la venta...",,192265203,Casa 360,https://www.fincaraiz.com.co/apartamento-en-venta-en-tunja/192265203,,,5.5521632,-73.3567425
Apartamento,venta,Usado,Tunja,La Fuente,35,2,1,140000000,3,8,2 Habs.,", Ascensor, , Calentador, , Canchas Deportivas, , Closet, , Piso en Baldosa /  Mármol, , Salón Comunal, , Sobre vía principal, , Trans. Público cercano, , Vista panorámica, , Área Urbana, Descripción, Atos Inmobiliaria te ofrece apartamento en venta con espacios funcionales y bien distribuidos. Cuenta con una habitación principal y una habitación auxiliar, ambas diseñadas para garantizar comodidad. Incluye un baño, cocina integral moderna, sala-comedor acogedora y una zona de lavadero. Este inmueble es perfecto para quienes buscan practicidad y confort en su nuevo hogar. ¡No dejes pasar esta oportunidad!, Código Fincaraíz:, 191922227, Consultar, ATOS Inmobiliaria SAS, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","Atos Inmobiliaria te ofrece apartamento en venta con espacios funcionales y bien distribuidos. Cuenta con una habitación principal y una habitación auxiliar, ambas diseñadas para garantizar comodidad. Incluye un baño, cocina integral moderna, sala-comedor acogedora y una zona de lavadero. Este inmueble es perfecto para quienes buscan practicidad y confort en su nuevo hogar. ¡No dejes pasar esta oportunidad!",,191922227,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/apartamento-en-venta/191922227,,,5.5482515,-73.3591130
Apartamento,venta,Usado,Tunja,,63,3,2,270000000,5,8,3 Habs.,", Ascensor, , Balcón, , Calentador, , Citófono, , Cocina Integral, , En conjunto cerrado, , Gimnasio, , Parqueadero Visitantes, , Portería / Recepción, , Salón Comunal, , Vigilancia, , Zona Infantil","Hermoso apartamento ubicado cerca a centros comerciales, universidades, colegios, y a la clinica medilaser, este senacional apartamento cuenta con excelente iluminacion y distribucion, consta de: 3 alcobas con closet, 2 baños, sala comedor, cocina integral, zona de ropas, balcones y garaje.  este agradable conjunto cuenta con seguridad 24 horas, parqueadero de visitantes, salon soacial, gimnasio, zonas verdes.......",,192310797,Inmobiliaria Fenix,https://www.fincaraiz.com.co/apartamento-en-venta/192310797,,,,
Apartamento,venta,Usado,Tunja,,53,3,2,215000000,3,1,,", Balcón, , Cerca centro comercial, , Trans. Público cercano, Descripción, Atos Inmobiliaria te ofrece un apartamento en venta en obra gris, ideal para que lo termines a tu gusto. El inmueble cuenta con tres habitaciones, dos baños, sala-comedor y cocina. Además, dispone de depósito y parqueadero para tu comodidad. No esperes más y contáctanos para agendar una cita. Estamos listos para ayudarte a encontrar el hogar que deseas., Código Fincaraíz:, 192053243, Consultar, ATOS Inmobiliaria SAS, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","Atos Inmobiliaria te ofrece un apartamento en venta en obra gris, ideal para que lo termines a tu gusto. El inmueble cuenta con tres habitaciones, dos baños, sala-comedor y cocina. Además, dispone de depósito y parqueadero para tu comodidad. No esperes más y contáctanos para agendar una cita. Estamos listos para ayudarte a encontrar el hogar que deseas.",,192053243,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/apartamento-en-venta/192053243,,,,
Casa,venta,Usado,Tunja,,213,3,3,410000000,3,30,,", Estudio, , Garaje(s), , Hall de Alcobas, , Patio, , Piso en Baldosa /  Mármol, , Sobre vía principal, , Trans. Público cercano, Descripción, Vendo casa ubicada cerca al centro de la ciudad de Tunja y cerca al monasterio principal de la ciudad., consta: sala-comedor, cocina semi-integral, tres baños, patio de ropas, estar, estudio. tres alcobas., Código Fincaraíz:, 10392620, Consultar, Inmobiliaria Eskala, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros",Vendo casa ubicada cerca al centro de la ciudad de Tunja y cerca al monasterio principal de la ciudad.,,10392620,Inmobiliaria Eskala,https://www.fincaraiz.com.co/casa-en-venta/10392620,,,,
Casa,venta,Usado,Tunja,Jorge Eliécer Gaitán,60,2,2,240000000,3,30,2 Habs.,", Baño Auxiliar, , Baño Independiente, , Calentador, , Cerca de Zona Urbana, , Citófono, , Closet, , Garaje(s), , Instalación de gas, , Parqueadero Visitantes, , Parques cercanos, , Piso en Baldosa /  Mármol, , Portería / Recepción","Código: 8991FR176 Excelente oportunidad de adquirir apartamento en el barrio Maldonado de la ciudad de Tunja, cerca del Hospital San Rafael, con fácil acceso de transporte público; consta de dos habitaciones con closet, la habitación principal con baño privado, baño social, cocina integral, sala-comedor, estudio, zona de lavandería y parqueadero.",,192265227,Casa 360,https://www.fincaraiz.com.co/apartamento-en-venta-en-tunja/192265227,,,,
Casa,venta,Usado,Tunja,La Pradera,210,0,0,280000000,5,8,,", Trans. Público cercano, , Vista panorámica, , Zona Residencial, , Área Urbana, Descripción, ¡Gran oportunidad de inversión! Tenemos a la venta un lote en el exclusivo barrio La Pradera, con una superficie de 210 m2. Este lote cuenta con 10 metros de frente y 21metros de fondo, brindándote un espacio ideal para construir la casa de tus sueños.","¡Gran oportunidad de inversión! Tenemos a la venta un lote en el exclusivo barrio La Pradera, con una superficie de 210 m2. Este lote cuenta con 10 metros de frente y 21metros de fondo, brindándote un espacio ideal para construir la casa de tus sueños.",,191273767,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/lote-en-venta/191273767,,,5.5456399,-73.3547323
Casa,venta,Usado,Tunja,,32000,0,0,5000000000,3,8,,,"¡GRAN OPORTUNIDAD DE INVERSION! LOTE PARA VENTA DE 32.000 METROS 2,  VALORADO EN $156.250 PESOS EL METRO CUADRADO,  CON CASA TERMINADA DE 160 METROS, UBICADO SOBRE VIA ALTERNA VARIANTE.",,10883522,RG Promotora Inmobiliaria,https://www.fincaraiz.com.co/lote-en-venta/10883522,,,,
Lote,venta,Usado,Tunja,,508,0,0,609600000,3,1,,", Trans. Público cercano, , Zona Residencial, , Área Urbana, Descripción, Atos Inmobiliaria vende lote en el sur de la ciudad. Cuenta con un área bruta de 508 m², incluyendo andenes, y un área neta urbanizable de 460.95 m². Su uso multifamiliar lo convierte en una excelente opción para inversión y desarrollo de proyectos de vivienda. Ubicado en una zona de alta proyección, cerca de importantes vías de acceso, transporte público, colegios y comercios, facilitando la movilidad y valorización del sector. ¡No pierdas esta oportunidad! Contáctanos y agenda tu cita., Código Fincaraíz:, 192183888, Consultar, ATOS Inmobiliaria SAS, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","Atos Inmobiliaria vende lote en el sur de la ciudad. Cuenta con un área bruta de 508 m², incluyendo andenes, y un área neta urbanizable de 460.95 m². Su uso multifamiliar lo convierte en una excelente opción para inversión y desarrollo de proyectos de vivienda. Ubicado en una zona de alta proyección, cerca de importantes vías de acceso, transporte público, colegios y comercios, facilitando la movilidad y valorización del sector. ¡No pierdas esta oportunidad! Contáctanos y agenda tu cita.",,192183888,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/lote-en-venta/192183888,,,,
Apartamento,venta,Usado,Tunja,Los Rosales,81,3,2,260000000,4,8,,", Ascensor, , Citófono, , Cocina Integral, , Colegios / Universidades, , Parques cercanos, , Portería / Recepción, , Supermercados / C.Comerciales, , Trans. Público cercano, , Vigilancia, Descripción, Lindo apartamento en venta con una excelente ubicacion cerca a la Uptc, su grandiosa distribucion consta de: 3 alcobas con closet, 2 baños, sala comedor, cocina integral, zona de ropas y garaje., Código Fincaraíz:, 191880564, Consultar, Inmobiliaria Fenix, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","Lindo apartamento en venta con una excelente ubicacion cerca a la Uptc, su grandiosa distribucion consta de: 3 alcobas con closet, 2 baños, sala comedor, cocina integral, zona de ropas y garaje.",,191880564,Inmobiliaria Fenix,https://www.fincaraiz.com.co/apartamento-en-venta/191880564,,,5.5540871,-73.3534532
Lote,venta,Usado,Tunja,,131,0,0,168000000,2,8,,,"Magnífico lote esquinero en el norte de la ciudad.  Consta de 131.65 metros cuadrados de área, servicios y alcantarillado, cerca a Parques del Nogal. Ideal para construcción de vivienda.",,191273989,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/lote-en-venta/191273989,,,,
Apartamento,venta,Usado,Tunja,,80,3,2,260000000,4,15,3 Habs.,", Ascensor, , Balcón, , Baño Auxiliar, , Calentador, , Citófono, , Cocina Integral, , Instalación de gas, , Loft, , Parqueadero Visitantes, , Portería / Recepción, , Salón Comunal, , Sobre vía principal","INMOBILIARIA 2 MIL VENDE APARTAMENTO, Ubicado en el Edificio In Altezza. Área: 80m2. Cuenta con: 3 habitaciones, 2 baños. Sala, Comedor, Cocina integral, Zona de lavandería independiente, Parqueadero y depósito. valor: 260.000.000",,191793931,INMOBILIARIA Y CONSTRUCTORA 2 MIL,https://www.fincaraiz.com.co/apartamento-en-venta/191793931,,,,
Lote,venta,Usado,Tunja,,14378,0,0,14378110000,4,8,,", Acceso Pavimentado, , Canchas Deportivas, , Colegios / Universidades, , Parques cercanos, , Sobre vía principal, , Supermercados / C.Comerciales, , Trans. Público cercano, , Vista panorámica, , Zona Comercial, , Zona Residencial, Descripción, Este lote, ubicado estratégicamente en una de las zonas de mayor proyección y valorización de Tunja, es ideal para proyectos residenciales, comerciales o mixtos. Su cercanía al reconocido Centro Comercial Viva garantiza una alta afluencia de público y fácil acceso a servicios y comercio.","Este lote, ubicado estratégicamente en una de las zonas de mayor proyección y valorización de Tunja, es ideal para proyectos residenciales, comerciales o mixtos. Su cercanía al reconocido Centro Comercial Viva garantiza una alta afluencia de público y fácil acceso a servicios y comercio.",,192291961,Remax Planet,https://www.fincaraiz.com.co/lote-en-venta-en-tunja/192291961,,,,
Casa,venta,Usado,Tunja,,23,0,1,150000000,4,8,,,"Atos Inmobiliaria tiene una excelente oportunidad de inversión para ti. Se trata de un consultorio en venta ubicado en el centro comercial Casa Vieja, una zona muy conveniente al norte de la ciudad y a pocos pasos de la Clínica Medilaser. Este consultorio cuenta con un área de 21.3 metros cuadrados y está equipado con un baño para la comodidad de tus pacientes.",,191273612,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/consultorio-en-venta/191273612,,,,
Lote,venta,Usado,Tunja,,1500,0,0,150000000,1,0,,,Espectacular lote de 1.500m2 cuenta con punto de agua.,,191092974,Inmobiliaria Fenix,https://www.fincaraiz.com.co/lote-en-venta/191092974,,,,
Casa,venta,Usado,Tunja,Santa Inés,200,7,5,460000000,5,30,,,Se vende hermosa casa al norte de la ciudad. Consta de:,,191274059,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta/191274059,,,5.5493892,-73.3510038
Apartamento,venta,Usado,Tunja,,53,2,2,240000000,4,8,2 Habs.,", Acceso Pavimentado, , Asador, , Balcón, , Baño Auxiliar, , Baño Independiente, , Canchas Deportivas, , Parqueadero Visitantes, , Portería / Recepción, , Salón Comunal, , Sobre vía principal, , Supermercados / C.Comerciales, , Trans. Público cercano",? Apartamentos en Reserva del Bosque Tunja: Tu Nuevo Comienzo ?,,191360662,INMOBILIARIA LOS LANCEROS,https://www.fincaraiz.com.co/apartamento-en-venta/191360662,,,,
Finca,venta,Usado,Tunja,,41,1,0,350000000,3,8,"Al ser el primer centro comercial en el sur de Tunja, Florida Shopping Center representa una oportunidad excepcional para posicionarte en una zona en crecimiento y atraer a una nueva base de clientes.",", Ascensor, , Cerca centro comercial, , Instalación de gas, , Piso de alta resistencia, , Shut de basura, , Sobre vía principal, , Tanques de Agua, , Terraza, , Trans. Público cercano, , Zona Comercial, Descripción, Atos Inmobiliaria te presenta una oportunidad única para expandir tu negocio. Se trata de un local comercial disponible para arriendo o venta en el nuevo centro comercial Florida Shopping Center, al sur de Tunja.","Atos Inmobiliaria te presenta una oportunidad única para expandir tu negocio. Se trata de un local comercial disponible para arriendo o venta en el nuevo centro comercial Florida Shopping Center, al sur de Tunja.",,191273070,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/local-en-venta/191273070,,,,
Lote,venta,Usado,Tunja,Centro,463,0,0,475000000,5,8,463,", Trans. Público cercano, , Área Urbana, Descripción, Con Atos Inmobiliaria descubre la oportunidad de adquirir este lote en venta de 463 metros cuadrados, ubicado en una zona privilegiada. Este terreno ofrece un amplio espacio para desarrollar tu proyecto inmobiliario ideal. Con un precio de $475,000,000, esta es tu mejor opción para invertir en un espacio con gran potencial de crecimiento y valorización. Cuenta con estudio de suelos, levantamiento topográfico y diseño arquitectónico. No pierdas la posibilidad de hacer realidad tus sueños inmobiliarios con esta excelente oferta. ¡Contáctanos para más información!, Código Fincaraíz:, 191273892, Consultar, ATOS Inmobiliaria SAS, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","Con Atos Inmobiliaria descubre la oportunidad de adquirir este lote en venta de 463 metros cuadrados, ubicado en una zona privilegiada. Este terreno ofrece un amplio espacio para desarrollar tu proyecto inmobiliario ideal. Con un precio de $475,000,000, esta es tu mejor opción para invertir en un espacio con gran potencial de crecimiento y valorización. Cuenta con estudio de suelos, levantamiento topográfico y diseño arquitectónico. No pierdas la posibilidad de hacer realidad tus sueños inmobiliarios con esta excelente oferta. ¡Contáctanos para más información!",,191273892,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/lote-en-venta/191273892,,,5.5521632,-73.3567425
Apartamento,venta,Usado,Tunja,Santa Bárbara,76,3,2,250000000,4,8,3 Habs.,", Ascensor, , Baño Auxiliar, , Circuito cerrado de TV, , Cocina Integral, , Colegios / Universidades, , En conjunto cerrado, , Loft, , Parques cercanos, , Supermercados / C.Comerciales, , Trans. Público cercano, , Vista panorámica, , Zona Comercial","INMOBILIARIA 2 MIL VENDE APARTAMENTO, Ubicado en el Barrio Santa Barbara, Estrato 4. Área: 76 mts2",,192235707,INMOBILIARIA Y CONSTRUCTORA 2 MIL,https://www.fincaraiz.com.co/apartamento-en-venta/192235707,,,5.5300678,-73.3637295
Lote,venta,Usado,Tunja,,13069,0,0,7999000000,2,8,,", Vista panorámica, , Área Urbana, Descripción, ADMINISTRADORA AAVAL VENDE LOTE EN BOYACÁ, TUNJA, CON TRECE MIL SESENTA Y NUEVE M2, APTO PARA CONSTURCCIÓN DE VIVIENDA O COMERCIO COMO LOCALES O BODEGAS. ZONA URBANA CON ACCESO A SERVICIOS PÚBLICOS BÁSICOS ESTRATO 2 Y ACCESO A VIAS PAVIMENTADAS., Código Fincaraíz:, 191765685, Consultar, Administradora Aaval Ltda, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","ADMINISTRADORA AAVAL VENDE LOTE EN BOYACÁ, TUNJA, CON TRECE MIL SESENTA Y NUEVE M2, APTO PARA CONSTURCCIÓN DE VIVIENDA O COMERCIO COMO LOCALES O BODEGAS. ZONA URBANA CON ACCESO A SERVICIOS PÚBLICOS BÁSICOS ESTRATO 2 Y ACCESO A VIAS PAVIMENTADAS.",,191765685,Administradora Aaval Ltda,https://www.fincaraiz.com.co/lote-en-venta/191765685,,,,
Casa,venta,Usado,Tunja,,273,4,5,420000000,4,30,,,"Se vende hermosa casa al norte de la ciudad en un sector muy tranquilo. En el primer piso consta de: Cocina integral, sala comedor, garaje, baño auxiliar, bodega y patio de ropas. Segundo piso: Sala de star, habitación con baño privado y Vestier, 2 habitaciones auxiliares cada un con closet y baño. Tercer piso: Habitación con  baño, terraza y salón gimnasio. Excelente vías de acce3so y transporte publico",,191274077,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta/191274077,,,,
Casa,venta,Usado,Tunja,Santa Helena,350,0,0,315000000,5,30,350,", Bahias de parqueo, , Cerca a sector comercial, , Con administrador, , En condominio, , En conjunto cerrado, , Lote Vacio, , Servicios Públicos, , Sobre vía principal, , Vista panorámica, , Área Urbana, Descripción, Oportunidad Buen Precio,  Lote Para Construir Casa En Un Ambiente Natural Y Tranquilo. Conjunto Cerrado Con Casas Tipo Campestres A Su Medida Y Gusto Área 350 M2 Medidas:  Frente 17 Ml    Fondo 17.5 Ml   Largo 20 Ml Administración $120.000 CONJUNTO NEW COUNTRY  RESERVA CAMPESTRE   TUNJA.","Oportunidad Buen Precio,  Lote Para Construir Casa En Un Ambiente Natural Y Tranquilo. Conjunto Cerrado Con Casas Tipo Campestres A Su Medida Y Gusto Área 350 M2 Medidas:  Frente 17 Ml    Fondo 17.5 Ml   Largo 20 Ml Administración $120.000 CONJUNTO NEW COUNTRY  RESERVA CAMPESTRE   TUNJA.",,7815775,ENTORNO URBANO,https://www.fincaraiz.com.co/lote-en-venta/7815775,,,,
Apartamento,venta,Usado,Tunja,Santa Bárbara,125,3,3,320000000,3,30,,,"Atos Inmobiliaria presenta la venta de un hermoso apartamento en una ubicación privilegiada en el corazón de la ciudad de Tunja, a solo 5 minutos de la Plaza de Bolívar. Este apartamento, situado en el tercer piso, ofrece un diseño amplio y cómodo que incluye una generosa sala-comedor, cocina integral, patio de ropas y un balcón para disfrutar de las vistas urbanas. Además, cuenta con características adicionales como cuarto y baño de servicio, estudio y tres habitaciones, siendo la principal con baño privado. Con una superficie construida de 125 metros cuadrados, este apartamento brinda espacio más que suficiente para vivir cómodamente.  No pierda la oportunidad de adquirir este encantador apartamento que ofrece comodidad y conveniencia en el corazón de Tunja. ¡Contáctenos para más detalles y para programar una visita!",,191273145,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/apartamento-en-venta/191273145,,,5.5300678,-73.3637295
Casa,venta,Usado,Tunja,,63,2,2,250000000,3,30,2 Habs.,", Amoblado, , Cerca centro comercial, , Cocina Integral, , Trans. Público cercano, , Vista panorámica, , Zona Residencial, Descripción, Bienvenido a esta encantadora casa ubicada en un conjunto cerrado, disponible tanto para arriendo amoblada como para venta sin amoblar. Con dos habitaciones y dos baños, esta casa ofrece un espacio cómodo y funcional para ti y tu familia. Además, cuenta con un estudio que puede adaptarse según tus necesidades, una sala acogedora, un comedor espacioso y una cocina integral totalmente equipada.","Bienvenido a esta encantadora casa ubicada en un conjunto cerrado, disponible tanto para arriendo amoblada como para venta sin amoblar. Con dos habitaciones y dos baños, esta casa ofrece un espacio cómodo y funcional para ti y tu familia. Además, cuenta con un estudio que puede adaptarse según tus necesidades, una sala acogedora, un comedor espacioso y una cocina integral totalmente equipada.",,191273092,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta/191273092,,,,
Apartamento,venta,Usado,Tunja,Santa Inés,103,3,2,343000000,4,30,3 Habs.,", Cerca centro comercial, , Chimenea, , Closet, , Cocina Integral, , Instalación de gas, , Piso en Baldosa /  Mármol, , Tanques de Agua, , Trans. Público cercano, , Vista panorámica, , Área Urbana, Descripción, Atos Inmobiliaria vende espectacular apartamento en el barrio Mesopotamia. Cuenta con 3 habitaciones y una habitación de servicio, 2 baños, sala-comedor y cocina integral. Disfruta de una excelente iluminación natural en la mañana y en la tarde, gracias a su vista en ambos sentidos. Además, dispone de patio de ropas y garaje independiente con puerta eléctrica y sensor de control remoto. La entrada principal tiene acceso con tarjeta inalámbrica, brindando mayor seguridad. También cuenta con parqueadero para visitantes. Su ubicación es ideal, cerca de tres centros comerciales, universidades, colegios y hospitales. ¡No pierdas esta oportunidad y agenda tu cita hoy mismo!, Código Fincaraíz:, 192120428, Consultar, ATOS Inmobiliaria SAS, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","Atos Inmobiliaria vende espectacular apartamento en el barrio Mesopotamia. Cuenta con 3 habitaciones y una habitación de servicio, 2 baños, sala-comedor y cocina integral. Disfruta de una excelente iluminación natural en la mañana y en la tarde, gracias a su vista en ambos sentidos. Además, dispone de patio de ropas y garaje independiente con puerta eléctrica y sensor de control remoto. La entrada principal tiene acceso con tarjeta inalámbrica, brindando mayor seguridad. También cuenta con parqueadero para visitantes. Su ubicación es ideal, cerca de tres centros comerciales, universidades, colegios y hospitales. ¡No pierdas esta oportunidad y agenda tu cita hoy mismo!",,192120428,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/apartamento-en-venta/192120428,,,5.5493892,-73.3510038
Casa,venta,Usado,Tunja,Villa Olímpica,241,9,5,1100000000,3,30,,", Acceso Pavimentado, , Baño Auxiliar, , Baño Independiente, , Cerca de Zona Urbana, , Closet, , Cochera, , Garaje(s), , Hall de Alcobas, , Instalación de gas, , Jardín, , Parques cercanos, , Patio","Código: 899FR1821 Oportunidad de adquirir casa rentable a pocas cuadras del centro de la ciudad de Tunja, cerca de prestigiosos colegios, la facultad de medicina de la Universidad Pedagógica y Tecnológica de Colombia, la Universidad Antonio Nariño y el Hospital San Rafael, con fácil acceso de transporte público; la cual consta de nueve habitaciones, cinco baños, cocina equipada, estudio, sala-comedor, deposito, zona de lavandería, garaje y un amplio lote apto para construcción de apartamentos o aparta estudios.",,192265714,Casa 360,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192265714,,,5.5412051,-73.3519859
Casa,venta,Usado,Tunja,,94,4,2,260000000,3,30,,", Cocina Integral, , Zona de lavandería, , Zonas Verdes, Descripción, Vendo casa de estrato 3 y  de 2 pisos ubicada en Urbanización Sol de oriente por valor de $270.000.000 la cual esta conformada por 94M2",Vendo casa de estrato 3 y  de 2 pisos ubicada en Urbanización Sol de oriente por valor de $270.000.000 la cual esta conformada por 94M2,,191996504,Inmobiliaria Fenix,https://www.fincaraiz.com.co/casa-en-venta/191996504,,,,
Casa,venta,Usado,Tunja,,130,3,3,320000000,3,8,,", Baño Auxiliar, , Cocina Integral, , Colegios / Universidades, , Hall de Alcobas, , Instalación de gas, , Parques cercanos, , Piso en Baldosa /  Mármol, , Supermercados / C.Comerciales, , Vista panorámica, , Zona de lavandería, , Zona Residencial, , Zonas Verdes","Excelente casa en venta, ubicada en sector de Balcones de Don Espíritu, a 10 min del centro comercial Viva, varias vías de acceso. La casa cuenta con parqueadero privado y cubierto, baño para visitas en el primer nivel, patio de ropas amplio con reja de seguridad en el techo, la casa cuenta con una excelente iluminación y adicional zona para ubicar un local comercial independiente con punto hídrico y de energía.",,10266978,ALMA ASESORES INMOBILIARIOS SAS,https://www.fincaraiz.com.co/casa-en-venta/10266978,,,,
Finca,venta,Usado,Tunja,Santa Lucía,17,0,0,125000000,3,30,17,", Acceso Pavimentado, , Supermercados / C.Comerciales, , Trans. Público cercano, , Vigilancia, , Zona Comercial, Descripción, Imagina tu negocio en un lugar de alto tráfico ?‍♂️, en el centro de Tunja, rodeado de oportunidades. Este local en Granahorrar es perfecto para hacer crecer tu emprendimiento ? o invertir de manera inteligente ?, asegurando ingresos pasivos ? o un negocio propio en una zona de gran afluencia.","Imagina tu negocio en un lugar de alto tráfico ?‍♂️, en el centro de Tunja, rodeado de oportunidades. Este local en Granahorrar es perfecto para hacer crecer tu emprendimiento ? o invertir de manera inteligente ?, asegurando ingresos pasivos ? o un negocio propio en una zona de gran afluencia.",,192292329,INMOBILIARIA LOS LANCEROS,https://www.fincaraiz.com.co/local-en-venta-en-tunja/192292329,,,,
Lote,venta,Usado,Tunja,,895,0,0,1651275000,3,1,,,¡Oportunidad única en Tunja!,,191272708,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/lote-en-venta/191272708,,,,
Casa,venta,Usado,Tunja,Santa Inés,89,0,1,500000000,5,8,3,", Ascensor, , Baños Mixtos, , Circuito cerrado de TV, , Citófono, , Gabinete de Incendios, , Parques cercanos, , Portería / Recepción, , Servicios Públicos, , Trans. Público cercano, , Ubicada en edificio, , Zona Comercial, , Zona Residencial","Ofrecemos en venta excelente oficina con una área privada de 88.93M2, con espacios amplios y funcionales, estratégicamente ubicada en el  quinto piso del Edificio ENTERPRISE TOWERS ubicado en el barrio Remansos de Santa Ines. La oficina esta dividida en tres ambientes independientes, recepción, baño privado, una sala de juntas con sus respectivas divisiónes en vidrio, archivadores, y espacios de mueble. Se destaca por su calidez, comodidad y diseño moderno. El Edificio está equipado con ascensor, escaleras de emergencia, vigilancia, ubicado al frente del Centro Comercial Unicentro, para acceder al sector se cuenta con dos vías principales, Calle 28 y Carrera 10. Para mayor información contáctenos al celular o WhatsApp Edgar Uribe.",,191939723,NUESTRA CASA INMOBILIARIA,https://www.fincaraiz.com.co/oficina-en-venta/191939723,,,5.5493892,-73.3510038
Casa,venta,Usado,Tunja,Centro,250,3,3,1200000000,4,15,,,"Preciosa casa ubicada en excelente sector de la ciudad. Consta con: 3 habitaciones , 1 estudio, parqueaderos, cocina, 3 baños, comedor y área de lavandería, Recién remodelada.",,191274019,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-campestre-en-venta/191274019,,,5.5521632,-73.3567425
